Section,Institution,Type,Address,Latitude,Longitude,Enrollment,Campus Size,Suitability,Notes
Within,Emory University,Private University,"201 Dowman Dr, Atlanta GA 30322",33.7938,-84.3244,15000,630,High,Elite private; Atlanta; beautiful campus; strong foot traffic
Within,Morehouse College,Private College,"830 Westview Dr SW, Atlanta GA 30314",33.7486,-84.4133,2600,61,Low,Elite HBCU; Atlanta; small but activist campus
Within,Spelman College,Private College,"350 Spelman Ln SW, Atlanta GA 30314",33.7480,-84.4120,2200,39,Low,Elite HBCU women's college; Atlanta; small campus
Within,Clark Atlanta University,Private University,"223 James P Brawley Dr SW, Atlanta GA 30314",33.7522,-84.4148,3600,126,Medium,HBCU; Atlanta; AUC campus
Within,Morehouse School of Medicine,Private University,"720 Westview Dr SW, Atlanta GA 30310",33.7449,-84.4155,1100,50,Low,Medical school only; small enrollment
Within,Agnes Scott College,Private College,"141 E College Ave, Decatur GA 30030",33.7697,-84.2956,1100,100,Low,Private women's college; Decatur; small enrollment
Within,Mercer University,Private University,"1501 Mercer University Dr, Macon GA 31207",32.8415,-83.6887,9000,130,High,Private Baptist; Macon; large enrollment
Within,Savannah College of Art and Design,Private University,"342 Bull St, Savannah GA 31401",32.0765,-81.0927,15000,50,High,Large private art school; Savannah; strong urban foot traffic
Within,Berry College,Private College,"2277 Martha Berry Hwy NW, Mount Berry GA 30149",34.2914,-85.2012,2200,27000,Medium,Private; Rome area; largest contiguous campus in world
Within,Reinhardt University,Private University,"7300 Reinhardt Circle, Waleska GA 30183",34.3036,-84.5529,1500,600,Low,Small private; Waleska; rural north Georgia
Within,LaGrange College,Private College,"601 Broad St, LaGrange GA 30240",33.0402,-85.0361,1100,120,Low,Private Methodist; LaGrange; small enrollment
Within,Piedmont University,Private University,"165 Central Ave, Demorest GA 30535",34.5617,-83.5408,3000,186,Medium,Private; Demorest; moderate enrollment; scenic campus
